user/followers_count,user/name,created_at,full_text,team,sentiment
2168964,Joel Embiid,2022-02-10,https://t.co/OzKxG4HRlO,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2020-01-26,"Man I don’t even know where to start I started playing ball because of KOBE after watching the 2010 finals. I had never watched ball before that and that finals was the turning point of my life. I WANTED TO BE LIKE KOBE. I’m so FREAKING SAD right now!!!! 

RIP LEGEND",Philadelphia 76ers,Negative
2168964,Joel Embiid,2018-04-01,Babe are you single or nah? @rihanna,Philadelphia 76ers,Negative
2168964,Joel Embiid,2018-06-09,Trust The Process!!!! Find a new slant @KingJames,Philadelphia 76ers,Positive
2168964,Joel Embiid,2022-02-13,GODZILLA  https://t.co/jWDmgkNrKx,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2023-01-26,#SuckIt https://t.co/xP8uJ3T6IA,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2022-06-30,LOL,Philadelphia 76ers,Positive
2168964,Joel Embiid,2022-05-26,Miami needs another Star,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2018-04-12,“No one cared who I was until I put on the mask”.... The Phantom of The Process https://t.co/JOkQxCAxYA,Philadelphia 76ers,Positive
2168964,Joel Embiid,2024-01-23,KOBE!!! 70 Piece https://t.co/1qnYwTfhsB,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2018-06-22,Don’t compare Ayton to me either... I play DEFENSE,Philadelphia 76ers,Positive
2168964,Joel Embiid,2018-07-03,There’s still time to change your mind lol,Philadelphia 76ers,Positive
2168964,Joel Embiid,2020-09-02,I’m still really unhappy,Philadelphia 76ers,Negative
2168964,Joel Embiid,2019-06-11,Why are they cheering for his injury? Come on man #Disguting,Philadelphia 76ers,Positive
2168964,Joel Embiid,2020-03-05,JOËL “DO A 180” EMBIID https://t.co/reO1V3nCQt,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2018-06-01,Jr is on that henny lol https://t.co/0GBhgXjVyt,Philadelphia 76ers,Positive
2168964,Joel Embiid,2023-05-03,SPOKE IT INTO EXISTENCE,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2018-06-30,The Lakers are FOREVER gonna be Kobe’s and Magic’s team.... Process that,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2021-06-21,"PHILLY I LOVE YOU
Sorry to disappoint you again Just know that I gave everything I had knowing the circumstances. If there’s one thing I’ve learned being here, it’s the TOUGHNESS this city has and that’s why I played with a torn meniscus. THANK YOU FOR THE SUPPORT ALL YEAR LONG!! https://t.co/CsR47xOJDZ",Philadelphia 76ers,Positive
2168964,Joel Embiid,2018-04-01,Sitting here high and watching the game like https://t.co/aTeHLdDaq9,Philadelphia 76ers,Positive
2168964,Joel Embiid,2021-03-08,Mickey Mouse All Star Game ha,Philadelphia 76ers,Positive
2168964,Joel Embiid,2017-11-16,WHAT A NIGHT #TheProcess https://t.co/92q82Zzvzb,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2022-05-07,https://t.co/X6PE3IxTQj,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2020-06-16,"After nine years in America, I FINALLY got my driver license",Philadelphia 76ers,Neutral
2168964,Joel Embiid,2019-05-15,Hell of a season. Proud of my guys and I appreciate all the support you guys gave us all season long. Extremely disappointed and fell short of our goal but this is the motivation I needed and best believe I’ll be BACK EVEN BETTER AND STRONGER #TheProcess https://t.co/sN7ufCM1pD,Philadelphia 76ers,Positive
2168964,Joel Embiid,2019-10-31,That tough guy act ain’t cutting it .... you know what you are.. you know what you’ve always been&gt;&gt;&gt; A PUSSY  (SAY IT LOUDER FOR PEOPLE IN THE BACK) Been kicking your ass and pretty please make the playoffs before you talk. It’s a known thing that I OWN YOU. @KarlTowns https://t.co/Izqwk3pEnM,Philadelphia 76ers,Neutral
2168964,Joel Embiid,2021-08-19,LMAO!! First year playing ball 10 years ago.. No wonder they had me playing on the JV squad. KG said it  “Anything is possible” ha,Philadelphia 76ers,Positive
